ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-06-19,-8.735010242169572,-5.769415092985582,7.238815822053449,-8.735010242169572,-8.735010242169572,9.708294629850982,9.708294629850982,9.708294629850982,9.661009418726312,9.661009418726312,9.661009418726312,0.047285211124668956,0.047285211124668956,0.047285211124668956,0.0,0.0,0.0,0.9732843876814101
2019-06-20,-8.735538763481705,-5.90736480614767,7.860887139875475,-8.735538763481705,-8.735538763481705,9.728373917698649,9.728373917698649,9.728373917698649,9.680079359998619,9.680079359998619,9.680079359998619,0.048294557700029696,0.048294557700029696,0.048294557700029696,0.0,0.0,0.0,0.9928351542169445
2019-06-21,-8.736067284793835,-5.767993402814568,7.275585681657857,-8.736067284793835,-8.736067284793835,9.778445477402222,9.778445477402222,9.778445477402222,9.724165721009602,9.724165721009602,9.724165721009602,0.05427975639262167,0.05427975639262167,0.05427975639262167,0.0,0.0,0.0,1.0423781926083873
2019-06-24,-8.737652848730232,-5.297936927731029,7.515726111329811,-8.737652848730232,-8.737652848730232,9.916039505990803,9.916039505990803,9.916039505990803,9.811272859351947,9.811272859351947,9.811272859351947,0.10476664663885735,0.10476664663885735,0.10476664663885735,0.0,0.0,0.0,1.178386657260571
2019-06-25,-8.738181370042364,-5.88283435616418,7.400965816017854,-8.738181370042364,-8.738181370042364,9.82411443965647,9.82411443965647,9.82411443965647,9.691634570771209,9.691634570771209,9.691634570771209,0.13247986888526095,0.13247986888526095,0.13247986888526095,0.0,0.0,0.0,1.0859330696141054
2019-06-26,-8.738709891354496,-5.513385162186557,7.822767376827225,-8.738709891354496,-8.738709891354496,9.826221365916409,9.826221365916409,9.826221365916409,9.6610094187258,9.6610094187258,9.6610094187258,0.16521194719060625,0.16521194719060625,0.16521194719060625,0.0,0.0,0.0,1.0875114745619126
2019-06-27,-8.739238412666628,-5.9422668840735025,7.672668564243081,-8.739238412666628,-8.739238412666628,9.882525119669886,9.882525119669886,9.882525119669886,9.680079360004342,9.680079360004342,9.680079360004342,0.20244575966554443,0.20244575966554443,0.20244575966554443,0.0,0.0,0.0,1.1432867070032575
2019-06-28,-8.73976693397876,-5.519005356054535,7.800069313521379,-8.73976693397876,-8.73976693397876,9.967665613604817,9.967665613604817,9.967665613604817,9.72416572103579,9.72416572103579,9.72416572103579,0.24349989256902488,0.24349989256902488,0.24349989256902488,0.0,0.0,0.0,1.2278986796260565
2019-07-01,-8.741352497915157,-5.30868302943009,7.792853410050023,-8.741352497915157,-8.741352497915157,10.191909403794357,10.191909403794357,10.191909403794357,9.811272859351359,9.811272859351359,9.811272859351359,0.38063654444299827,0.38063654444299827,0.38063654444299827,0.0,0.0,0.0,1.4505569058791998
2019-07-02,-8.741881019227288,-5.145463396236178,8.04408389500682,-8.741881019227288,-8.741881019227288,10.119096507548559,10.119096507548559,10.119096507548559,9.691634570779803,9.691634570779803,9.691634570779803,0.427461936768755,0.427461936768755,0.427461936768755,0.0,0.0,0.0,1.377215488321271
2019-07-03,-8.74240954053942,-4.939329567579015,8.395689459483599,-8.74240954053942,-8.74240954053942,10.133890238339529,10.133890238339529,10.133890238339529,9.661009418726128,9.661009418726128,9.661009418726128,0.4728808196134027,0.4728808196134027,0.4728808196134027,0.0,0.0,0.0,1.3914806978001089
2019-07-04,-8.742938061851552,-5.274827865971429,8.576249309778548,-8.742938061851552,-8.742938061851552,10.19574196208615,10.19574196208615,10.19574196208615,9.680079360000057,9.680079360000057,9.680079360000057,0.5156626020860918,0.5156626020860918,0.5156626020860918,0.0,0.0,0.0,1.4528039002345974
2019-07-05,-8.743466583163684,-5.143251584112298,7.922146668658619,-8.743466583163684,-8.743466583163684,10.278751448541087,10.278751448541087,10.278751448541087,9.724165721011921,9.724165721011921,9.724165721011921,0.5545857275291664,0.5545857275291664,0.5545857275291664,0.0,0.0,0.0,1.5352848653774025
2019-07-08,-8.74505214710008,-4.762166350042851,8.695433907348466,-8.74505214710008,-8.74505214710008,10.448071198756208,10.448071198756208,10.448071198756208,9.8112728593493,9.8112728593493,9.8112728593493,0.63679833940691,0.63679833940691,0.63679833940691,0.0,0.0,0.0,1.7030190516561277
2019-07-09,-8.745580668412213,-5.694407097740216,7.928839486198849,-8.745580668412213,-8.745580668412213,10.341002650691538,10.341002650691538,10.341002650691538,9.691634570770157,9.691634570770157,9.691634570770157,0.6493680799213787,0.6493680799213787,0.6493680799213787,0.0,0.0,0.0,1.5954219822793245
2019-07-10,-8.746109189724343,-5.209255143247932,8.07704091068418,-8.746109189724343,-8.746109189724343,10.31421353294788,10.31421353294788,10.31421353294788,9.661009418725977,9.661009418725977,9.661009418725977,0.6532041142219058,0.6532041142219058,0.6532041142219058,0.0,0.0,0.0,1.5681043432235366
2019-07-11,-8.746637711036477,-4.5147351189788,8.46323782356018,-8.746637711036477,-8.746637711036477,10.3278510694203,10.3278510694203,10.3278510694203,9.680079359995773,9.680079359995773,9.680079359995773,0.6477717094245273,0.6477717094245273,0.6477717094245273,0.0,0.0,0.0,1.5812133583838222
