Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-02-16,4969,0.16,16.16,0.16,0.16,0.00%,1000000.0,56480000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-17,4968,0.16,16.16,0.16,0.16,0.00%,1000000.0,167270000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-18,4967,0.16,15.9,0.16,0.16,0.00%,1000000.0,36530000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-21,4966,0.16,15.96,0.16,0.16,0.00%,1000000.0,52280000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-22,4965,0.16,15.98,0.16,0.16,0.00%,1000000.0,191760000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-23,4964,0.16,15.99,0.16,0.16,0.00%,1000000.0,31650000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-24,4963,0.16,15.99,0.16,0.16,0.00%,1000000.0,30180000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-25,4962,0.16,15.85,0.16,0.16,0.00%,1000000.0,121550000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-28,4961,0.16,15.86,0.16,0.16,0.00%,1000000.0,67950000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-29,4960,0.16,16.24,0.16,0.16,0.00%,1000000.0,11660000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-01,4959,0.16,16.0,0.16,0.16,0.00%,1000000.0,15970000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-02,4958,0.16,15.84,0.16,0.16,0.00%,1000000.0,135830000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-03,4957,0.16,15.97,15.97,0.16,0.00%,1000000.0,45840000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-06,4956,0.16,15.84,17.22,0.16,0.00%,1000000.0,38530000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-07,4955,0.16,15.88,0.16,0.16,0.00%,1000000.0,50490000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-08,4954,0.16,15.88,0.16,0.16,0.00%,1000000.0,25900000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-09,4953,0.16,15.89,0.16,0.16,0.00%,1000000.0,24080000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-10,4952,0.16,15.98,0.16,0.16,0.00%,1000000.0,62200000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-13,4951,0.16,15.89,0.16,0.16,0.00%,1000000.0,114710000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-14,4950,0.16,15.89,0.16,0.16,0.00%,1000000.0,25450000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-17,4949,0.16,15.93,0.16,0.16,0.00%,1000000.0,73170000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-20,4948,0.16,15.88,0.16,0.16,0.00%,1000000.0,29900000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-21,4947,0.16,0.16,0.16,0.16,0.00%,1000000.0,63390000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-22,4946,0.16,15.98,0.16,0.16,0.00%,1000000.0,25810000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-23,4945,0.16,16.0,0.16,0.16,0.00%,1000000.0,54830000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-24,4944,0.16,16.16,0.16,0.16,0.00%,1000000.0,58320000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-27,4943,0.16,16.0,0.16,0.16,0.00%,1000000.0,19490000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-28,4942,0.16,16.0,0.16,0.16,0.00%,1000000.0,40310000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-29,4941,0.16,16.01,0.16,0.16,0.00%,1000000.0,63210000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-30,4940,0.16,16.02,0.16,0.16,0.00%,1000000.0,49320000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-03-31,4939,0.17,16.8,0.17,0.17,6.25%,1000000.0,217760000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-04-03,4938,0.16,16.01,0.16,0.16,-5.88%,1000000.0,29140000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
