ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-03-06,2.67186945,0.6063798786763954,4.860287786418632,2.67186945,2.67186945,0.14647995322817053,0.14647995322817053,0.14647995322817053,-0.03840924542490391,-0.03840924542490391,-0.03840924542490391,0.18488919865307443,0.18488919865307443,0.18488919865307443,0.0,0.0,0.0,2.8183494032281704
2012-03-07,2.6833787473645985,0.8736360170402148,4.9052395313304,2.6833787473645985,2.6833787473645985,0.13422358553521296,0.13422358553521296,0.13422358553521296,-0.0347972525287182,-0.0347972525287182,-0.0347972525287182,0.16902083806393114,0.16902083806393114,0.16902083806393114,0.0,0.0,0.0,2.8176023328998117
2012-03-08,2.694888044729197,0.8053675793327983,4.815952749918656,2.694888044729197,2.694888044729197,0.1269237256734663,0.1269237256734663,0.1269237256734663,-0.028201880429999465,-0.028201880429999465,-0.028201880429999465,0.15512560610346576,0.15512560610346576,0.15512560610346576,0.0,0.0,0.0,2.8218117704026633
2012-03-09,2.7063973420937955,0.8528740674612845,4.811490754526007,2.7063973420937955,2.7063973420937955,0.14260838983706078,0.14260838983706078,0.14260838983706078,-0.0006093172107754878,-0.0006093172107754878,-0.0006093172107754878,0.14321770704783626,0.14321770704783626,0.14321770704783626,0.0,0.0,0.0,2.8490057319308564
2012-03-12,2.7409252341875905,0.9660413784463657,4.810518825003308,2.7409252341875905,2.7409252341875905,0.09831840350325932,0.09831840350325932,0.09831840350325932,-0.020390097984649157,-0.020390097984649157,-0.020390097984649157,0.11870850148790849,0.11870850148790849,0.11870850148790849,0.0,0.0,0.0,2.8392436376908496
2012-03-13,2.7524345315521894,0.8005887875317799,4.848454141228713,2.7524345315521894,2.7524345315521894,0.07534714767547235,0.07534714767547235,0.07534714767547235,-0.03840924542489453,-0.03840924542489453,-0.03840924542489453,0.11375639310036688,0.11375639310036688,0.11375639310036688,0.0,0.0,0.0,2.8277816792276615
2012-03-14,2.7639438289167875,0.8371029613208247,5.019736218604172,2.7639438289167875,2.7639438289167875,0.07522149349091856,0.07522149349091856,0.07522149349091856,-0.03479725252870732,-0.03479725252870732,-0.03479725252870732,0.11001874601962588,0.11001874601962588,0.11001874601962588,0.0,0.0,0.0,2.8391653224077062
2012-03-15,2.7754531262813864,0.8664319943221439,4.903998768662099,2.7754531262813864,2.7754531262813864,0.07898609735321492,0.07898609735321492,0.07898609735321492,-0.028201880429970728,-0.028201880429970728,-0.028201880429970728,0.10718797778318562,0.10718797778318562,0.10718797778318562,0.0,0.0,0.0,2.8544392236346012
2012-03-16,2.786962423645985,0.9171556563747993,4.9379715054814035,2.786962423645985,2.786962423645985,0.10430912344873518,0.10430912344873518,0.10430912344873518,-0.0006093172108830148,-0.0006093172108830148,-0.0006093172108830148,0.10491844065961818,0.10491844065961818,0.10491844065961818,0.0,0.0,0.0,2.89127154709472
2012-03-19,2.82149031573978,0.8527031797715927,4.962444847167654,2.82149031573978,2.82149031573978,0.07724447979543808,0.07724447979543808,0.07724447979543808,-0.020390097984709164,-0.020390097984709164,-0.020390097984709164,0.09763457778014725,0.09763457778014725,0.09763457778014725,0.0,0.0,0.0,2.898734795535218
2012-03-20,2.832999613104379,0.7247557910561514,4.806849189653753,2.832999613104379,2.832999613104379,0.055299991703937255,0.055299991703937255,0.055299991703937255,-0.0384092454248922,-0.0384092454248922,-0.0384092454248922,0.09370923712882946,0.09370923712882946,0.09370923712882946,0.0,0.0,0.0,2.8882996048083163
2012-03-21,2.844508910468977,0.9499896606668503,4.969476466236094,2.844508910468977,2.844508910468977,0.053577618687834054,0.053577618687834054,0.053577618687834054,-0.034797252528734966,-0.034797252528734966,-0.034797252528734966,0.08837487121656902,0.08837487121656902,0.08837487121656902,0.0,0.0,0.0,2.898086529156811
2012-03-22,2.8560182078335754,0.9213636541838783,5.029257126757922,2.8560182078335754,2.8560182078335754,0.05306246185768277,0.05306246185768277,0.05306246185768277,-0.028201880430022946,-0.028201880430022946,-0.028201880430022946,0.08126434228770572,0.08126434228770572,0.08126434228770572,0.0,0.0,0.0,2.9090806696912583
2012-03-23,2.867527505198174,0.9886182944652062,4.922101983048148,2.867527505198174,2.867527505198174,0.07143596304357881,0.07143596304357881,0.07143596304357881,-0.000609317210868841,-0.000609317210868841,-0.000609317210868841,0.07204528025444763,0.07204528025444763,0.07204528025444763,0.0,0.0,0.0,2.9389634682417527
2012-03-26,2.9020553972919694,1.0130821820467815,4.967933216678364,2.9020553972919694,2.9020553972919694,0.008752299531153428,0.008752299531153428,0.008752299531153428,-0.02039009798461809,-0.02039009798461809,-0.02039009798461809,0.02914239751577152,0.02914239751577152,0.02914239751577152,0.0,0.0,0.0,2.910807696823123
2012-03-27,2.9135646946565674,0.921813199543641,4.972993691891944,2.9135646946565674,2.9135646946565674,-0.029212718908852853,-0.029212718908852853,-0.029212718908852853,-0.03840924542489368,-0.03840924542489368,-0.03840924542489368,0.009196526516040825,0.009196526516040825,0.009196526516040825,0.0,0.0,0.0,2.8843519757477147
2012-03-28,2.9250739920211664,0.8512249026363221,4.796122184286577,2.9250739920211664,2.9250739920211664,-0.0484770255282143,-0.0484770255282143,-0.0484770255282143,-0.03479725252870114,-0.03479725252870114,-0.03479725252870114,-0.013679772999513163,-0.013679772999513163,-0.013679772999513163,0.0,0.0,0.0,2.876596966492952
2012-03-29,2.936583289385765,0.8755218523398216,4.935808236396791,2.936583289385765,2.936583289385765,-0.06764027021686594,-0.06764027021686594,-0.06764027021686594,-0.028201880430028515,-0.028201880430028515,-0.028201880430028515,-0.039438389786837426,-0.039438389786837426,-0.039438389786837426,0.0,0.0,0.0,2.8689430191688987
2012-03-30,2.9480925867503633,0.8199963292093799,4.768840310345851,2.9480925867503633,2.9480925867503633,-0.06856297456392342,-0.06856297456392342,-0.06856297456392342,-0.0006093172107769323,-0.0006093172107769323,-0.0006093172107769323,-0.06795365735314648,-0.06795365735314648,-0.06795365735314648,0.0,0.0,0.0,2.87952961218644
2012-04-02,2.982620478844159,0.8019596471769694,5.021948092547351,2.982620478844159,2.982620478844159,-0.18804586025155148,-0.18804586025155148,-0.18804586025155148,-0.020390097984667843,-0.020390097984667843,-0.020390097984667843,-0.16765576226688364,-0.16765576226688364,-0.16765576226688364,0.0,0.0,0.0,2.7945746185926073
2012-04-03,2.994129776208757,0.6520988130632677,4.784720380958428,2.994129776208757,2.994129776208757,-0.24287849570440495,-0.24287849570440495,-0.24287849570440495,-0.03840924542488428,-0.03840924542488428,-0.03840924542488428,-0.20446925027952068,-0.20446925027952068,-0.20446925027952068,0.0,0.0,0.0,2.751251280504352
2012-04-04,3.0056390735733554,0.5293096394297196,4.656310556959255,3.0056390735733554,3.0056390735733554,-0.2771519138800795,-0.2771519138800795,-0.2771519138800795,-0.0347972525287132,-0.0347972525287132,-0.0347972525287132,-0.24235466135136632,-0.24235466135136632,-0.24235466135136632,0.0,0.0,0.0,2.728487159693276
2012-04-05,3.017148370937954,0.6449061793736479,4.601046672687078,3.017148370937954,3.017148370937954,-0.3090135661554929,-0.3090135661554929,-0.3090135661554929,-0.028201880430034076,-0.028201880430034076,-0.028201880430034076,-0.2808116857254588,-0.2808116857254588,-0.2808116857254588,0.0,0.0,0.0,2.708134804782461
2012-04-10,3.0746948577609463,0.45160665055370514,4.439976468249423,3.0746948577609463,3.0746948577609463,-0.5011143407133465,-0.5011143407133465,-0.5011143407133465,-0.03840924542488899,-0.03840924542488899,-0.03840924542488899,-0.4627050952884576,-0.4627050952884576,-0.4627050952884576,0.0,0.0,0.0,2.5735805170476
2012-04-11,3.086204155125545,0.49314905743425796,4.628485941826319,3.086204155125545,3.086204155125545,-0.528046497973736,-0.528046497973736,-0.528046497973736,-0.03479725252870231,-0.03479725252870231,-0.03479725252870231,-0.49324924544503373,-0.49324924544503373,-0.49324924544503373,0.0,0.0,0.0,2.558157657151809
2012-04-12,3.0977134524901433,0.426468067028856,4.612075951154434,3.0977134524901433,3.0977134524901433,-0.5489208252063007,-0.5489208252063007,-0.5489208252063007,-0.028201880430011515,-0.028201880430011515,-0.028201880430011515,-0.5207189447762891,-0.5207189447762891,-0.5207189447762891,0.0,0.0,0.0,2.5487926272838424
2012-04-13,3.109222749854742,0.5149897338160044,4.6766258264261245,3.109222749854742,3.109222749854742,-0.5453361286811028,-0.5453361286811028,-0.5453361286811028,-0.0006093172108314116,-0.0006093172108314116,-0.0006093172108314116,-0.5447268114702712,-0.5447268114702712,-0.5447268114702712,0.0,0.0,0.0,2.563886621173639
2012-04-17,3.1552599393131358,0.5850932751765745,4.4953958160063285,3.1552599393131358,3.1552599393131358,-0.639319884823177,-0.639319884823177,-0.639319884823177,-0.03840924542489047,-0.03840924542489047,-0.03840924542489047,-0.6009106393982866,-0.6009106393982866,-0.6009106393982866,0.0,0.0,0.0,2.515940054489959
2012-04-18,3.166769236677734,0.511518376206182,4.569008382861268,3.166769236677734,3.166769236677734,-0.6392008560101075,-0.6392008560101075,-0.6392008560101075,-0.03479725252872996,-0.03479725252872996,-0.03479725252872996,-0.6044036034813773,-0.6044036034813773,-0.6044036034813773,0.0,0.0,0.0,2.5275683806676263
2012-04-19,3.1782785340423327,0.46033080555364936,4.6101721240592894,3.1782785340423327,3.1782785340423327,-0.6319446748559269,-0.6319446748559269,-0.6319446748559269,-0.028201880430017087,-0.028201880430017087,-0.028201880430017087,-0.6037427944259098,-0.6037427944259098,-0.6037427944259098,0.0,0.0,0.0,2.5463338591864058
2012-04-20,3.189787831406931,0.47186512081097076,4.569476223265753,3.189787831406931,3.189787831406931,-0.5997226409641179,-0.5997226409641179,-0.5997226409641179,-0.0006093172107783726,-0.0006093172107783726,-0.0006093172107783726,-0.5991133237533395,-0.5991133237533395,-0.5991133237533395,0.0,0.0,0.0,2.5900651904428127
2012-04-23,3.2243157235007263,0.5373231183999589,4.6597286217382745,3.2243157235007263,3.2243157235007263,-0.5848258452704285,-0.5848258452704285,-0.5848258452704285,-0.02039009798467627,-0.02039009798467627,-0.02039009798467627,-0.5644357472857522,-0.5644357472857522,-0.5644357472857522,0.0,0.0,0.0,2.6394898782302976
