ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-03,-0.00291513376,-17.169496965461764,15.84058034990527,-0.00291513376,-0.00291513376,-1.188133261722523,-1.188133261722523,-1.188133261722523,-0.09448828426187185,-0.09448828426187185,-0.09448828426187185,-1.0936449774606514,-1.0936449774606514,-1.0936449774606514,0.0,0.0,0.0,-1.191048395482523
2000-01-04,-0.002902310407210534,-18.789320199163424,16.436502994735022,-0.002902310407210534,-0.002902310407210534,-1.20735369113101,-1.20735369113101,-1.20735369113101,-0.06543189887664021,-0.06543189887664021,-0.06543189887664021,-1.14192179225437,-1.14192179225437,-1.14192179225437,0.0,0.0,0.0,-1.2102560015382207
2000-01-05,-0.002889487054421067,-16.90386767013072,14.96933888297833,-0.002889487054421067,-0.002889487054421067,-1.191756519977959,-1.191756519977959,-1.191756519977959,0.0023072407743169846,0.0023072407743169846,0.0023072407743169846,-1.194063760752276,-1.194063760752276,-1.194063760752276,0.0,0.0,0.0,-1.19464600703238
2000-01-10,-0.0028253702904737343,-17.51435636623166,15.534717592949892,-0.0028253702904737343,-0.0028253702904737343,-1.5708111224212928,-1.5708111224212928,-1.5708111224212928,-0.0944882842619368,-0.0944882842619368,-0.0944882842619368,-1.476322838159356,-1.476322838159356,-1.476322838159356,0.0,0.0,0.0,-1.5736364927117665
2000-01-11,-0.0028125469376842674,-17.227153750011908,14.955676461471883,-0.0028125469376842674,-0.0028125469376842674,-1.5960653856492888,-1.5960653856492888,-1.5960653856492888,-0.06543189887676397,-0.06543189887676397,-0.06543189887676397,-1.530633486772525,-1.530633486772525,-1.530633486772525,0.0,0.0,0.0,-1.598877932586973
2000-01-12,-0.0027997235848948015,-18.405862972646762,14.425032680887783,-0.0027997235848948015,-0.0027997235848948015,-1.5803108870363536,-1.5803108870363536,-1.5803108870363536,0.0023072407742194497,0.0023072407742194497,0.0023072407742194497,-1.582618127810573,-1.582618127810573,-1.582618127810573,0.0,0.0,0.0,-1.5831106106212485
2000-01-13,-0.0027869002321053347,-18.52569235574815,14.921094148001965,-0.0027869002321053347,-0.0027869002321053347,-1.6260341294268486,-1.6260341294268486,-1.6260341294268486,0.005871557168031105,0.005871557168031105,0.005871557168031105,-1.63190568659488,-1.63190568659488,-1.63190568659488,0.0,0.0,0.0,-1.6288210296589538
2000-01-14,-0.0027740768793158683,-16.981072901678253,14.08850844544741,-0.0027740768793158683,-0.0027740768793158683,-1.6670226017939247,-1.6670226017939247,-1.6670226017939247,0.011292135382775908,0.011292135382775908,0.011292135382775908,-1.6783147371767004,-1.6783147371767004,-1.6783147371767004,0.0,0.0,0.0,-1.6697966786732406
2000-01-17,-0.0027356068209474687,-19.708739302859133,13.772223180566229,-0.0027356068209474687,-0.0027356068209474687,-1.8958814846753258,-1.8958814846753258,-1.8958814846753258,-0.09448828426160386,-0.09448828426160386,-0.09448828426160386,-1.8013932004137223,-1.8013932004137223,-1.8013932004137223,0.0,0.0,0.0,-1.8986170914962732
2000-01-18,-0.002722783468158002,-18.870465843940245,14.243026425784132,-0.002722783468158002,-0.002722783468158002,-1.9037907921143578,-1.9037907921143578,-1.9037907921143578,-0.06543189887668308,-0.06543189887668308,-0.06543189887668308,-1.8383588932376749,-1.8383588932376749,-1.8383588932376749,0.0,0.0,0.0,-1.9065135755825158
2000-01-19,-0.0027099601153685354,-17.92638846692325,14.81466870537459,-0.0027099601153685354,-0.0027099601153685354,-1.8720770889079947,-1.8720770889079947,-1.8720770889079947,0.00230724077417524,0.00230724077417524,0.00230724077417524,-1.8743843296821698,-1.8743843296821698,-1.8743843296821698,0.0,0.0,0.0,-1.8747870490233634
2000-01-20,-0.0026971367625790686,-18.26379268416322,13.68468536011594,-0.0026971367625790686,-0.0026971367625790686,-1.9044650672334587,-1.9044650672334587,-1.9044650672334587,0.005871557167975714,0.005871557167975714,0.005871557167975714,-1.9103366244014344,-1.9103366244014344,-1.9103366244014344,0.0,0.0,0.0,-1.9071622039960376
2000-01-21,-0.0026843134097896027,-18.774822921598492,14.076028724613673,-0.0026843134097896027,-0.0026843134097896027,-1.9358935376433593,-1.9358935376433593,-1.9358935376433593,0.011292135382841977,0.011292135382841977,0.011292135382841977,-1.9471856730262014,-1.9471856730262014,-1.9471856730262014,0.0,0.0,0.0,-1.9385778510531488
2000-01-24,-0.0026458433514212026,-18.195342347582088,14.288757651859108,-0.0026458433514212026,-0.0026458433514212026,-2.1681125248481568,-2.1681125248481568,-2.1681125248481568,-0.09448828426168028,-0.09448828426168028,-0.09448828426168028,-2.0736242405864767,-2.0736242405864767,-2.0736242405864767,0.0,0.0,0.0,-2.170758368199578
2000-01-25,-0.0026330199986317362,-18.63808893498635,14.700334572021196,-0.0026330199986317362,-0.0026330199986317362,-2.190008150598316,-2.190008150598316,-2.190008150598316,-0.06543189887660217,-0.06543189887660217,-0.06543189887660217,-2.1245762517217144,-2.1245762517217144,-2.1245762517217144,0.0,0.0,0.0,-2.1926411705969477
